2026-03-28 21:24:39,716 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,717 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-03-28 21:24:39,718 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,720 INFO     Listening on TCP address 0.0.0.0:8000
net.ipv4.ip_forward = 1
127.0.0.1:40528 - - [28/Mar/2026:21:24:46] "POST /api/update/" 200 34
127.0.0.1:42532 - - [28/Mar/2026:21:24:48] "POST /api/update/" 200 34
192.168.1.8:57386 - - [28/Mar/2026:21:24:48] "WSCONNECTING /ws/packets/" - -
192.168.1.8:57386 - - [28/Mar/2026:21:24:48] "WSCONNECT /ws/packets/" - -
192.168.1.8:57386 - - [28/Mar/2026:21:24:48] "WSDISCONNECT /ws/packets/" - -
192.168.1.8:57388 - - [28/Mar/2026:21:24:48] "WSCONNECTING /ws/packets/" - -
192.168.1.8:57374 - - [28/Mar/2026:21:24:48] "GET /api/settings/whitelist/" 200 155
192.168.1.8:57388 - - [28/Mar/2026:21:24:49] "WSCONNECT /ws/packets/" - -
192.168.1.8:57374 - - [28/Mar/2026:21:24:49] "GET /api/settings/whitelist/" 200 155
127.0.0.1:42538 - - [28/Mar/2026:21:24:50] "POST /api/update/" 200 34
127.0.0.1:42552 - - [28/Mar/2026:21:24:52] "POST /api/update/" 200 34
192.168.1.8:57374 - - [28/Mar/2026:21:24:53] "GET /api/network/devices/" 200 327
127.0.0.1:42554 - - [28/Mar/2026:21:24:54] "POST /api/update/" 200 34
127.0.0.1:42556 - - [28/Mar/2026:21:24:56] "POST /api/update/" 200 34
127.0.0.1:57676 - - [28/Mar/2026:21:24:58] "POST /api/update/" 200 34
127.0.0.1:57680 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57682 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57698 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57714 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57722 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57728 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57738 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57752 - - [28/Mar/2026:21:24:59] "POST /api/update/" 200 34
127.0.0.1:57754 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57758 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57760 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57772 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57788 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57800 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57812 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57826 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57840 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57846 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57862 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57878 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57880 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57888 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57896 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57898 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57902 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57908 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57912 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57928 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57942 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57950 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57960 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57962 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57966 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57976 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57978 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:57986 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:58002 - - [28/Mar/2026:21:25:00] "POST /api/update/" 200 34
127.0.0.1:58014 - - [28/Mar/2026:21:25:01] "POST /api/update/" 200 34
